Date,Sales,FreeCashFlow,Cash,Long Term Debt,Price
12/31/2013,25587,4698,12447,5181,19.94
3/31/2014,19741,-3582,8666,3147,16.818
6/30/2014,19340,-428,7986,3119,16.239
9/30/2014,20579,388,6883,3099,16.122
12/31/2014,29328,5571,17416,12489,15.518
3/31/2015,22717,-2370,13781,8257,18.605
6/30/2015,23185,784,14001,8250,21.705
9/30/2015,25358,1415,14428,8243,25.595
12/31/2015,35747,7503,19808,14175,33.795
3/31/2016,29128,-3132,15859,14219,29.682
6/30/2016,30404,1867,16540,14312,35.781
9/30/2016,32714,2818,18347,15105,41.866
12/30/2016,43741,7846,25981,15213,37.494
3/31/2017,35714,-3767,21531,15991,44.327
6/30/2017,37955,737,21451,17483,48.4
9/29/2017,43744,703,24310,36610,48.068
12/29/2017,60453,8737,30986,37926,58.474
3/29/2018,51042,-4889,24963,37940,72.367
6/29/2018,52886,4206,27050,24638,84.99
9/28/2018,56576,5236,29765,37784,100.15
12/31/2018,72383,12745,41250,39787,75.099
3/29/2019,59700,-1444,37020,56597,89.038
6/28/2019,63404,5556,41463,58463,94.682
9/30/2019,69981,3195,43401,59530,86.796
12/31/2019,87437,14347,55021,63205,92.392
3/31/2020,75452,-3731,49292,63737,97.486
6/30/2020,88912,13147,71391,75926,137.941
9/30/2020,96145,901,68402,81518,157.437
12/31/2020,125555,15606,84396,84389,162.847
3/31/2021,108518,-7869,73270,84935,154.704
6/30/2021,113080,-1573,89894,106576,172.008
9/30/2021,110812,-8435,78988,113903,164.252
12/31/2021,137412,3151,96049,116395,166.717
3/31/2022,116444,-17741,66385,113287,162.998
6/30/2022,121234,-6759,60710,124577,106.21
9/30/2022,127101,-4974,58662,128251,113
12/30/2022,149204,12581,70026,140118,84
3/31/2023,127358,-9419,64405,141351,103.29
6/30/2023,134383,5021,63970,138914,130.36
9/29/2023,143083,8738,64169,136989,127.12
12/29/2023,169961,27877,86780,135611,151.94
