Date,Sales,FreeCashFlow,Cash,Long Term Debt,Price
12/31/2013,615.22,44.55,845.89,598.97,10.0286
3/31/2014,620.54,-80.72,2583.02,1532.54,13.8967
6/30/2014,769.35,-179.26,2674.91,1781.12,16.004
9/30/2014,851.8,-312.17,2370.74,1799.44,16.1787
12/31/2014,956.66,-455.06,1905.71,1818.79,14.8273
3/31/2015,939.88,-557.85,1510.08,1899.94,12.5847
6/30/2015,954.98,-564.68,1150.67,1999.34,17.884
9/30/2015,936.79,-595.74,1426.04,1981.39,16.56
12/31/2015,1214.38,-441.07,1196.91,2021.09,16.0007
3/31/2016,1147.05,-466.46,1441.79,2484.33,15.318
6/30/2016,1270.02,-144.38,3246.3,2620,14.152
9/30/2016,2298.44,176.04,3084.26,2443.42,13.602
12/30/2016,2284.63,-969.82,3393.22,5969.5,14.246
3/31/2017,2696.27,-622.44,4006.59,7158.96,18.5533
6/30/2017,2789.56,-1159.24,3035.92,7125.41,24.1073
9/29/2017,2984.68,-1417,3530.03,9584.2,22.74
12/29/2017,3288.25,-276.8,3367.91,9418.32,20.7567
3/29/2018,3408.75,-1054.04,2665.67,8763.73,17.742
6/29/2018,4002.23,-739.48,2236.42,9513.39,22.8633
9/28/2018,6824.41,881.01,2967.5,9672.61,17.6513
12/31/2018,7225.87,909.58,3685.62,9403.67,22.1867
3/29/2019,4541.46,-919.54,2198.17,10788.84,18.6573
6/28/2019,6349.68,613.93,4954.74,12265.2,14.8973
9/30/2019,6303,370.61,5338,12341,16.058
12/31/2019,7384,1013,6268,12590,27.8887
3/31/2020,5985,-895,8080,11607,34.9333
6/30/2020,6036,418,8615,11432,71.9873
9/30/2020,8771,1395,14531,11660,143.0033
12/31/2020,10744,1868,19384,10810,235.2233
3/31/2021,10389,293,17141,10383,222.6433
6/30/2021,11958,619,16229,9278,226.5667
9/30/2021,13757,1328,16095,8067,258.4933
12/31/2021,17719,2775,17707,6916,352.26
3/31/2022,18756,2228,18013,4967,359.2
6/30/2022,16934,621,18915,4720,224.4733
9/30/2022,21454,3297,21107,3991,265.25
12/30/2022,24318,1420,22185,3761,123.18
3/31/2023,23329,441,22402,3661,207.46
6/30/2023,24927,1005,23075,3803,261.77
9/29/2023,23350,848,26077,5607,250.22
12/29/2023,25167,2064,29094,6528,248.48
