Date,Sales,FreeCashFlow,Cash,Long Term Debt,Price
12/31/2013,24519,2681,83944,20676,37.41
3/31/2014,20403,8907,88425,20679,40.99
6/30/2014,23382,8184,85709,20645,41.7
9/30/2014,23201,7072,89193,18472,46.36
12/31/2014,26470,2850,90249,18260,46.45
3/31/2015,21729,8179,95438,27644,40.655
6/30/2015,22180,5068,96526,27808,44.15
9/30/2015,20910,7238,99355,27819,44.26
12/31/2015,25253,3594,102640,40679,55.48
3/31/2016,21517,8059,105552,40896,55.23
6/30/2016,23474,5809,113240,44814,51.17
9/30/2016,21928,9386,136932,64403,57.6
12/30/2016,25826,4305,122781,64548,62.14
3/31/2017,23212,8965,126018,81754,65.86
6/30/2017,25605,8722,132981,83870,68.93
9/29/2017,24538,10308,138471,85150,74.49
12/29/2017,28918,5289,142780,82734,85.54
3/29/2018,26819,9217,132270,83381,91.27
6/29/2018,30085,7438,133768,81935,98.61
9/28/2018,29084,10055,135880,79856,114.37
12/31/2018,32471,5193,127662,80301,101.57
3/29/2019,30571,10955,131618,78085,117.94
6/28/2019,33717,12057,133819,79107,133.96
9/30/2019,33055,10433,136636,80598,139.03
12/31/2019,36906,7135,134253,78820,157.7
3/31/2020,35021,13737,137626,78250,157.71
6/30/2020,38033,13929,136527,76205,203.51
9/30/2020,37154,14428,137977,74379,210.33
12/31/2020,43076,8342,131968,74830,222.42
3/31/2021,41706,17090,125407,70580,235.77
6/30/2021,46152,16258,130334,71453,270.9
9/30/2021,45317,18730,130615,72755,281.92
12/31/2021,51728,8615,125369,72285,336.32
3/31/2022,49360,20046,104693,73085,308.31
6/30/2022,51865,17758,104757,72363,256.83
9/30/2022,50122,16915,107262,70609,232.9
12/30/2022,52747,4899,99508,70596,239.82
3/31/2023,52857,17834,104427,69587,288.3
6/30/2023,56189,19827,111262,70588,340.54
9/29/2023,56517,20666,143951,72010,315.75
12/29/2023,62020,9118,81017,77589,376.04
