Date,Sales,FreeCashFlow,Cash,Long Term Debt,Price
1/24/2014,1144.22,334.34,4671.81,1373.88,3.89
4/25/2014,1103,122,4347.82,1379.96,4.6825
7/25/2014,1103,73,4386.05,1386.09,4.4475
10/24/2014,1225,177,4240.8,1392.24,4.62
1/23/2015,1251,412,4623,1398,5.1775
4/24/2015,1151,216,4792,1404,5.5075
7/24/2015,1153,139,4505,1411,4.855
10/23/2015,1305,238,4728,1417,7.1475
1/29/2016,1401,496,5037,97,7.3225
4/29/2016,1305,264,4754,88,8.8825
7/29/2016,1428,168,4879,80,14.275
10/28/2016,2004,420,6671,2034,17.64
1/27/2017,2173,670,6798,2020,27.9425
4/28/2017,1937,228,6206,1995,26.075
7/28/2017,2230,651,5877,1989,41.0975
10/27/2017,2636,1089,6320,1987,50.465
1/26/2018,2911,942,7108,1985,60.8325
4/27/2018,3207,1327,7300,1986,56.5825
7/27/2018,3123,784,7943,1987,63.005
10/26/2018,3181,337,7591,1987,49.5725
1/25/2019,2205,695,7422,1988,40.0375
4/26/2019,2220,592,7802,2474,44.5225
7/26/2019,2579,823,8475,2472,43.7675
10/25/2019,3014,1537,9769,2459,51.135
1/24/2020,3105,1321,10897,2552,62.62
4/24/2020,3080,754,16354,7478,72.3975
7/24/2020,3866,1350,10981,7571,101.945
10/23/2020,4726,806,10139,6567,135.9025
1/29/2021,5003,1784,11561,6598,129.8975
4/30/2021,5661,1576,12667,6604,150.095
7/30/2021,6507,2499,19654,11659,194.99
10/29/2021,7103,1298,19298,11687,255.67
1/28/2022,7643,2758,21208,11687,228.4
4/29/2022,8288,1370,20338,11699,185.47
7/29/2022,6704,837,17037,10443,181.63
10/28/2022,5931,-138,13143,10499,138.34
1/27/2023,6051,1739,13296,10605,203.65
4/28/2023,7192,2663,15320,10643,277.49
7/28/2023,13507,6059,16023,9497,467.5
10/27/2023,18120,7055,18281,9548,405
1/26/2024,22103,11246,25984,9578,610.31
